label,label_text,clean_text
2,Mixed,مرضي نظافه الغرفه ازعاج الغرف القريبه ولا يوجد عزل
1,Positive,روايه رائعه من البدايه الي النهايه احزنني كثيرا ما يحدث لفخر الدين ولننظر حولنا وسنجد ملايين من امثال فخر الدين في نقائه ولا اقول مثاليته ملايين ممن يقتلهم المجتمع ونقتلهم نحن ايضا يوميا استمتعت كثيرا بالقراءه الاولي للكاتب البارع استاذ عز الدين شكر فشير وحتما لن تكون الاخير ابدا
2,Mixed,مرضي المطعم فقد محمول غالي الثمن بالفندق ولم يتم الحصول عليه عدم وجود مواقف بالفندق
1,Positive,طيب نبدا منين كل حاجه في الروايه تشدك و تخليك مش عايز تسيبها ساعات تكون مبهجه و ترسم ابتسامه لا اراديه كده علي وشك و ساعات تخليك تعيط اختيار الاشعار انا عشت مع الروايه دي مع اني كنت متشوقه لمعرفه النهايه بس اتضايقت انها خلصت لانها كانت بتدخلني في حاله غريبه و حلوه في نفس الوقت بجد ابدعت
1,Positive,استثنائي قرب الخدمات من الفندق ، و توفر المواقف و الواي فاي مجاني وقربه من امارات مول ضيف المواقف و تاخير الشيك اوت
1,Positive,استثنائي كل شي ممتاز وعلي مستوي جو دبي
0,Negative,تمنيت ان تدفن رسائله معه ولا يعلم بها احد
0,Negative,كتاب ممل الصراحه بس عجبني الجزء اللي اتكلم فيه عن الديموقراطيه و الدوله الدينيه من الاخر اقرا اخر صفحه من الكتاب غير كده الكلام كله معظمه انت عارفه فمش هيفوتك حاجه
0,Negative,وصلت الي منتصف الروايه تقريبا ولم اتممها بعد ولا اعرف اذا كنت ساكملها الروايه لا تشد القارئ مؤلفه من الكثير الكثير من القصص التي تضيع بها لم اعلم ما هو الهدف منها اذا اكملتها في احد الايام سيكون فقط لاعرف اذا كان هنالك هدف في نهايتها
1,Positive,اول روايه اقراها لاحسان عبد القدوس عجبتني جداااا و رغم انها قصص قصيره لاحداث و اماكن مختلفه لكن فعلا مترابطه جدا الروايه فعلا بتوصف منتهي احب و لكن في نفس اوقت بتوصف منتهي الخيانه الالم الحزن الفراق الخلاصه انها بتخلص كل قصه حب ممكن تحصل
2,Mixed,مقبول الوان الجدران
1,Positive,انطباعي عن الفندق كنت قد حجزت في الفندق من تاريخ سبتمبر الي سبتمبر وقبل الوصول طلبت توفير شطاف في دوره المياه فتم تركيبه قبل وصولي ، نوع الغرفه في الدور وانصح بها مساحتها جميله وكل مافيها جميل الشيء الوحيد الذي اتمني من اداره الفندق الاهتمام به هو توفير انترنت مجاني علي الاقل في بهو الفندق اذا لم يكن في كل الغرف احيانا يضطر البعض للذهاب لستاربوكس القريب من الفندق للحصول علي الانترنت مقابل طلب القهوه، لو ان اداره الفندق توفر الانترنت المجاني في البهو فان البعض سيقوم بطلب القهوه من الكوفي الموجود في البهو وذلك فيه فائده للفندق وللضيوف ايضا في اخر يوم لي بالفندق وعندما كنت ارتب اغراضي واستعد للرحيل ، اخذت نظره تحت السرير للتاكد انه لايوجد اي شيء من حاجاتي تحته فتفاجات ان المكان الذي تحت السرير غير نظيف ابدا وعثرت علي حبوب سنافي مقوي جنسي للرجال العاملين في الاستقبال ممتازين لو كررت الزياره فلن اسكن في غير لقربه من المترو وهذا اراحني كثيرا في تنقلاتي اتمني من اداره الفندق الاهتمام بنظافه ماتحت السرير وشكرا
2,Mixed,انطباعات لمحات مشاهد ابراهيم اصلان عبر عن كل واحد فينا كلنا كنا متفائلين ف الاول لحد ما الصوره بدات تسوء من ساعه احداث ماسبيرو وكشوف العذريه و و و وبيتحسر بردو علي تقسيم الشباب ل ائتلاف
1,Positive,جيد جدا قربه من الحرم وبوفيه الافطار ممتاز عدم توفر مواقف سيارات
2,Mixed,نقطه عبور قصيره في القاهره انا باق في فندق نوفوتيل عاده عندما اكون في عبور عبر القاهره ان قرب مسافته من مطار القاهره الدولي يجعل الفندق واحد من افضل الخيارات لوقفه عبور قصير انها مجرد اقل من دقائق بالسياره بحيث ان خدمه الاستقبال خدمه جليله والوكيل يساعد كثيرا في جميع اجراءات الهجره في اخر مره كنت فيها في فندق نوفوتيل مطار القاهره، لم تكن الغرفه منظفه بشكل جيد،فالفندق يستخدم ايضا من طرف شركه مصر للطيران كمكان عبور لركابها، وربما في بعض الاحيان الموظفين ليس لديهم الوقت للقيام بتنظيف جيد
0,Negative,فندق ضعيف المستوي بمقابل تمن الاقامه لا شيء الفندق غالي الثمن وضعيف المستوي السعر اعلي من السعر الموجود علي بوكينج دوت كوم لا يوجد شباك واحد في الغرفه لتنفس الهواء الفطار ضعيف جدا
2,Mixed,الفيلم افضل من الروايه الوصف ضئيل جدا بهذا الكتاب لم اشعر بانني اري الموقف امامي واهمل الكاتب ثريا ركز علي زوجها والملا وتصرفاته
